- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.3  - - - 
Seed: 1481020515  Run: 1  Samples:  102826021   Time:  2830.78713799
dt   Re(C(t))    Im(C(t))
0.0000     1.888354    0.000000
0.2513     1.883277    0.125814
0.5025     1.869577    0.241397
0.7538     1.847297    0.367182
1.0050     1.813355    0.506314
1.2563     1.776286    0.622342
1.5075     1.734310    0.728664
1.7588     1.683119    0.835753
2.0101     1.620692    0.946573
2.2613     1.547108    1.055679
2.5126     1.475108    1.146835
2.7638     1.395051    1.233935
3.0151     1.316638    1.306981
3.2663     1.229880    1.375453
3.5176     1.141971    1.434452
3.7688     1.050193    1.485105
4.0201     0.945524    1.532423
4.2714     0.848610    1.547732
4.5226     0.746970    1.556582
4.7739     0.640687    1.554493
5.0251     0.542693    1.540393
5.2764     0.424212    1.526246
5.5276     0.302095    1.497894
5.7789     0.191713    1.458958
6.0302     0.070937    1.403506
6.2814     -0.036263    1.338231
6.5327     -0.141438    1.258618
6.7839     -0.238176    1.179411
7.0352     -0.339166    1.099913
7.2864     -0.435641    1.016622
7.5377     -0.521462    0.928281
7.7889     -0.599219    0.833342
8.0402     -0.658850    0.734893
8.2915     -0.711349    0.636180
8.5427     -0.760343    0.535782
8.7940     -0.799058    0.437632
9.0452     -0.833171    0.340719
9.2965     -0.860324    0.249299
9.5477     -0.882422    0.159051
9.7990     -0.897789    0.079047
10.0503     -0.907519    0.003338
10.3015     -0.912038    -0.075281
10.5528     -0.910538    -0.147250
10.8040     -0.904802    -0.207424
11.0553     -0.891936    -0.267378
11.3065     -0.876138    -0.313184
11.5578     -0.853637    -0.357122
11.8090     -0.832241    -0.382234
12.0603     -0.810095    -0.397631
12.3116     -0.783872    -0.413634
12.5628     -0.756661    -0.416793
12.8141     -0.722963    -0.415677
13.0653     -0.688114    -0.407574
13.3166     -0.654730    -0.390040
13.5678     -0.619003    -0.365521
13.8191     -0.584142    -0.329561
14.0704     -0.550531    -0.289333
14.3216     -0.518697    -0.249137
14.5729     -0.485525    -0.195600
14.8241     -0.455814    -0.136168
15.0754     -0.429925    -0.079162
15.3266     -0.405683    -0.013711
15.5779     -0.384074    0.057395
15.8291     -0.367842    0.121571
16.0804     -0.352755    0.194301
16.3317     -0.341562    0.267471
16.5829     -0.336591    0.331539
16.8342     -0.336318    0.398906
17.0854     -0.337814    0.463040
17.3367     -0.343233    0.522842
17.5879     -0.351003    0.579309
17.8392     -0.362403    0.636595
18.0905     -0.371157    0.691249
18.3417     -0.389472    0.734816
18.5930     -0.405757    0.774681
18.8442     -0.433186    0.799306
19.0955     -0.463654    0.816024
19.3467     -0.500807    0.823186
19.5980     -0.533039    0.826528
19.8492     -0.563606    0.822605
20.1005     -0.601150    0.805795
20.3518     -0.639276    0.779983
20.6030     -0.675787    0.746803
20.8543     -0.709736    0.706841
21.1055     -0.747931    0.653563
21.3568     -0.785214    0.591705
21.6080     -0.815314    0.528669
21.8593     -0.850757    0.446750
22.1106     -0.879121    0.364750
22.3618     -0.903000    0.278630
22.6131     -0.924019    0.188750
22.8643     -0.941689    0.095914
23.1156     -0.956007    -0.006442
23.3668     -0.967361    -0.113637
23.6181     -0.974249    -0.221096
23.8693     -0.973737    -0.334926
24.1206     -0.966164    -0.443438
24.3719     -0.958284    -0.552888
24.6231     -0.936478    -0.666507
24.8744     -0.915425    -0.770501
25.1256     -0.891079    -0.876138
25.3769     -0.853113    -0.981854
25.6281     -0.807107    -1.086919
25.8794     -0.763556    -1.179112
26.1307     -0.701997    -1.267582
26.3819     -0.638123    -1.356701
26.6332     -0.566694    -1.434792
26.8844     -0.488673    -1.504419
27.1357     -0.422590    -1.561173
27.3869     -0.350674    -1.610743
27.6382     -0.261931    -1.652651
27.8894     -0.163198    -1.686060
28.1407     -0.075408    -1.708877
28.3920     0.050835    -1.723213
28.6432     0.153798    -1.726469
28.8945     0.267120    -1.717626
29.1457     0.393343    -1.694812
29.3970     0.488369    -1.668704
29.6482     0.580877    -1.634971
29.8995     0.689339    -1.586994
30.1508     0.796803    -1.528585
30.4020     0.906187    -1.459364
30.6533     1.002546    -1.386897
30.9045     1.095963    -1.306158
31.1558     1.189571    -1.214819
31.4070     1.279157    -1.115153
31.6583     1.355775    -1.017909
31.9095     1.438101    -0.898705
32.1608     1.499442    -0.797769
32.4121     1.557365    -0.687592
32.6633     1.608991    -0.574270
