dt     Re(C(t))    Im(C(t))
0.0000     1.888354    0.000000
0.2500     1.884438    0.121493
0.5000     1.872717    0.242159
0.7500     1.853264    0.361175
1.0000     1.826200    0.477734
1.2500     1.791694    0.591051
1.5000     1.749962    0.700367
1.7500     1.701263    0.804958
2.0000     1.645900    0.904140
2.2500     1.584216    0.997275
2.5000     1.516590    1.083776
2.7500     1.443439    1.163114
3.0000     1.365208    1.234818
3.2500     1.282374    1.298484
3.5000     1.195436    1.353774
3.7500     1.104916    1.400422
4.0000     1.011352    1.438232
4.2500     0.915296    1.467084
4.5000     0.817308    1.486932
4.7500     0.717956    1.497804
5.0000     0.617804    1.499802
5.2500     0.517418    1.493100
5.5000     0.417351    1.477943
5.7500     0.318150    1.454645
6.0000     0.220342    1.423582
6.2500     0.124437    1.385193
6.5000     0.030923    1.339974
6.7500     -0.059741    1.288472
7.0000     -0.147122    1.231279
7.2500     -0.230823    1.169032
7.5000     -0.310480    1.102399
7.7500     -0.385767    1.032079
8.0000     -0.456397    0.958791
8.2500     -0.522126    0.883270
8.5000     -0.582751    0.806262
8.7500     -0.638114    0.728510
9.0000     -0.688099    0.650754
9.2500     -0.732639    0.573723
9.5000     -0.771708    0.498126
9.7500     -0.805326    0.424644
10.0000     -0.833557    0.353932
10.2500     -0.856506    0.286602
10.5000     -0.874319    0.223227
10.7500     -0.887182    0.164329
11.0000     -0.895318    0.110380
11.2500     -0.898983    0.061792
11.5000     -0.898467    0.018918
11.7500     -0.894087    -0.017951
12.0000     -0.886186    -0.048594
12.2500     -0.875128    -0.072854
12.5000     -0.861299    -0.090644
12.7500     -0.845095    -0.101948
13.0000     -0.826927    -0.106817
13.2500     -0.807209    -0.105373
13.5000     -0.786363    -0.097804
13.7500     -0.764805    -0.084361
14.0000     -0.742948    -0.065360
14.2500     -0.721196    -0.041176
14.5000     -0.699939    -0.012238
14.7500     -0.679554    0.020974
15.0000     -0.660392    0.057933
15.2500     -0.642785    0.098072
15.5000     -0.627037    0.140788
15.7500     -0.613420    0.185448
16.0000     -0.602178    0.231398
16.2500     -0.593515    0.277966
16.5000     -0.587603    0.324468
16.7500     -0.584573    0.370220
17.0000     -0.584515    0.414538
17.2500     -0.587481    0.456751
17.5000     -0.593478    0.496201
17.7500     -0.602475    0.532256
18.0000     -0.614395    0.564311
18.2500     -0.629122    0.591797
18.5000     -0.646501    0.614185
18.7500     -0.666336    0.630992
19.0000     -0.688393    0.641787
19.2500     -0.712404    0.646192
19.5000     -0.738068    0.643889
19.7500     -0.765053    0.634623
20.0000     -0.792998    0.618201
20.2500     -0.821522    0.594501
20.5000     -0.850218    0.563466
20.7500     -0.878667    0.525111
21.0000     -0.906432    0.479519
21.2500     -0.933071    0.426844
21.5000     -0.958134    0.367306
21.7500     -0.981173    0.301195
22.0000     -1.001743    0.228861
22.2500     -1.019405    0.150720
22.5000     -1.033734    0.067243
22.7500     -1.044323    -0.021043
23.0000     -1.050783    -0.113563
23.2500     -1.052750    -0.209695
23.5000     -1.049890    -0.308779
23.7500     -1.041902    -0.410120
24.0000     -1.028517    -0.512995
24.2500     -1.009507    -0.616661
24.5000     -0.984686    -0.720358
24.7500     -0.953911    -0.823317
25.0000     -0.917084    -0.924767
25.2500     -0.874157    -1.023943
25.5000     -0.825129    -1.120089
25.7500     -0.770050    -1.212468
26.0000     -0.709020    -1.300366
26.2500     -0.642191    -1.383100
26.5000     -0.569764    -1.460022
26.7500     -0.491990    -1.530527
27.0000     -0.409166    -1.594056
27.2500     -0.321639    -1.650101
27.5000     -0.229800    -1.698210
27.7500     -0.134079    -1.737991
28.0000     -0.034948    -1.769115
28.2500     0.067087    -1.791319
28.5000     0.171484    -1.804406
28.7500     0.277677    -1.808250
29.0000     0.385073    -1.802797
29.2500     0.493060    -1.788059
29.5000     0.601009    -1.764124
29.7500     0.708283    -1.731145
30.0000     0.814237    -1.689345
30.2500     0.918227    -1.639013
30.5000     1.019613    -1.580502
30.7500     1.117763    -1.514223
31.0000     1.212061    -1.440646
31.2500     1.301910    -1.360292
31.5000     1.386738    -1.273729
31.7500     1.466001    -1.181570
32.0000     1.539188    -1.084463
32.2500     1.605828    -0.983089
32.5000     1.665490    -0.878155
32.7500     1.717787    -0.770387
33.0000     1.762383    -0.660526
33.2500     1.798993    -0.549319
33.5000     1.827384    -0.437514
33.7500     1.847382    -0.325855
34.0000     1.858868    -0.215073
34.2500     1.861783    -0.105882
34.5000     1.856129    0.001026
34.7500     1.841965    0.104991
35.0000     1.819411    0.205385
35.2500     1.788644    0.301619
35.5000     1.749902    0.393151
35.7500     1.703474    0.479483
36.0000     1.649705    0.560171
36.2500     1.588991    0.634826
36.5000     1.521773    0.703117
36.7500     1.448539    0.764772
37.0000     1.369815    0.819581
37.2500     1.286163    0.867396
37.5000     1.198179    0.908132
37.7500     1.106483    0.941769
38.0000     1.011716    0.968347
38.2500     0.914538    0.987967
38.5000     0.815616    1.000791
38.7500     0.715628    1.007038
39.0000     0.615246    1.006980
39.2500     0.515140    1.000940
39.5000     0.415968    0.989291
39.7500     0.318372    0.972446
40.0000     0.222971    0.950858
40.2500     0.130358    0.925016
40.5000     0.041095    0.895435
40.7500     -0.044293    0.862655
41.0000     -0.125322    0.827236
41.2500     -0.201550    0.789748
41.5000     -0.272586    0.750770
41.7500     -0.338087    0.710881
42.0000     -0.397764    0.670657
42.2500     -0.451386    0.630664
42.5000     -0.498777    0.591451
42.7500     -0.539820    0.553550
43.0000     -0.574456    0.517464
43.2500     -0.602688    0.483668
43.5000     -0.624575    0.452600
43.7500     -0.640236    0.424662
44.0000     -0.649844    0.400210
44.2500     -0.653628    0.379557
44.5000     -0.651869    0.362967
44.7500     -0.644897    0.350651
45.0000     -0.633086    0.342768
45.2500     -0.616853    0.339424
45.5000     -0.596653    0.340669
45.7500     -0.572973    0.346496
