- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.3  - - - 
Seed: 3468086169  Run: 4  Samples:  102826021   Time:  2892.74217701
dt   Re(C(t))    Im(C(t))
0.0000     1.888354    0.000000
0.2513     1.883877    0.118622
0.5025     1.870050    0.245634
0.7538     1.847456    0.370305
1.0050     1.817328    0.495938
1.2563     1.780773    0.612737
1.5075     1.740724    0.715959
1.7588     1.689129    0.826132
2.0101     1.626748    0.938321
2.2613     1.561763    1.036397
2.5126     1.489942    1.129381
2.7638     1.409743    1.218686
3.0151     1.326979    1.297799
3.2663     1.242725    1.366017
3.5176     1.157369    1.424869
3.7688     1.064716    1.478944
4.0201     0.963083    1.527756
4.2714     0.861676    1.548692
4.5226     0.760349    1.557883
4.7739     0.649875    1.559089
5.0251     0.537958    1.550027
5.2764     0.421473    1.533491
5.5276     0.309917    1.502345
5.7789     0.203916    1.464197
6.0302     0.093721    1.408385
6.2814     -0.014329    1.340356
6.5327     -0.118401    1.261584
6.7839     -0.218081    1.181027
7.0352     -0.314659    1.102218
7.2864     -0.412381    1.016325
7.5377     -0.502215    0.926997
7.7889     -0.571669    0.832949
8.0402     -0.630563    0.736010
8.2915     -0.682648    0.640216
8.5427     -0.731030    0.542450
8.7940     -0.773889    0.443299
9.0452     -0.810531    0.343732
9.2965     -0.839290    0.249565
9.5477     -0.861366    0.160598
9.7990     -0.877223    0.077649
10.0503     -0.887363    -0.001841
10.3015     -0.891760    -0.078411
10.5528     -0.890145    -0.148954
10.8040     -0.884766    -0.206161
11.0553     -0.873458    -0.260814
11.3065     -0.857963    -0.306510
11.5578     -0.839190    -0.342079
11.8090     -0.816229    -0.371442
12.0603     -0.791730    -0.391816
12.3116     -0.764748    -0.406726
12.5628     -0.736314    -0.409872
12.8141     -0.703956    -0.408191
13.0653     -0.671569    -0.395778
13.3166     -0.637575    -0.379383
13.5678     -0.604824    -0.350583
13.8191     -0.570021    -0.315171
14.0704     -0.537353    -0.273939
14.3216     -0.506434    -0.225135
