idx    dt     Re(C(t))    Im(C(t))   |C(t)|^2   |C(t)|
1    0.0000    0.864023   0.000000   0.746535  0.864023
2    0.5000    0.797854   0.326163   0.742954  0.861948
3    1.0000    0.611500   0.599431   0.733250  0.856300
4    1.5000    0.337941   0.777968   0.719438  0.848197
5    2.0000    0.022655   0.838008   0.702771  0.838314
6    2.5000    -0.285614   0.775923   0.683632  0.826821
7    3.0000    -0.542702   0.606769   0.662693  0.814060
8    3.5000    -0.715183   0.360384   0.641364  0.800852
9    4.0000    -0.784450   0.075330   0.621037  0.788059
10    4.5000    -0.747723   -0.208215   0.602443  0.776172
11    5.0000    -0.615974   -0.454443   0.585942  0.765468
12    5.5000    -0.410341   -0.635391   0.572101  0.756374
13    6.0000    -0.158579   -0.732462   0.561648  0.749432
14    6.5000    0.108181   -0.737066   0.554970  0.744963
15    7.0000    0.358630   -0.650641   0.551949  0.742933
16    7.5000    0.564132   -0.483843   0.552349  0.743202
17    8.0000    0.700728   -0.255251   0.556173  0.745770
18    8.5000    0.750592   0.009791   0.563485  0.750656
19    9.0000    0.703809   0.280181   0.573849  0.757528
20    9.5000    0.560970   0.520877   0.586000  0.765507
21    10.0000    0.335818   0.696651   0.598097  0.773367
22    10.5000    0.056215   0.777980   0.608413  0.780008
23    11.0000    -0.238272   0.747791   0.615965  0.784834
24    11.5000    -0.502555   0.606630   0.620561  0.787757
25    12.0000    -0.694479   0.374005   0.622181  0.788785
26    12.5000    -0.782960   0.085347   0.620310  0.787598
27    13.0000    -0.753816   -0.214267   0.614149  0.783677
28    13.5000    -0.612455   -0.478029   0.603614  0.776926
29    14.0000    -0.383002   -0.665646   0.589774  0.767968
30    14.5000    -0.103624   -0.750449   0.573911  0.757569
31    15.0000    0.181125   -0.723559   0.556344  0.745884
32    15.5000    0.428669   -0.594078   0.536685  0.732588
33    16.0000    0.605075   -0.386025   0.515131  0.717726
34    16.5000    0.689268   -0.133537   0.492923  0.702085
35    17.0000    0.675119   0.124921   0.471391  0.686579
36    17.5000    0.571253   0.353055   0.450978  0.671549
37    18.0000    0.398044   0.522598   0.431547  0.656922
38    18.5000    0.182595   0.616505   0.413420  0.642977
39    19.0000    -0.046153   0.628902   0.397648  0.630593
40    19.5000    -0.260671   0.563222   0.385168  0.620619
41    20.0000    -0.436754   0.430343   0.375949  0.613147
42    20.5000    -0.555085   0.247170   0.369212  0.607628
43    21.0000    -0.602596   0.035259   0.364365  0.603626
44    21.5000    -0.573391   -0.180563   0.361380  0.601149
45    22.0000    -0.469621   -0.373649   0.360158  0.600131
46    22.5000    -0.302614   -0.517901   0.359797  0.599831
47    23.0000    -0.093306   -0.591767   0.358895  0.599078
48    23.5000    0.129583   -0.582937   0.356607  0.597166
49    24.0000    0.333911   -0.491568   0.353135  0.594252
50    24.5000    0.489545   -0.330647   0.348982  0.590747
51    25.0000    0.573239   -0.123906   0.343955  0.586477
52    25.5000    0.572433   0.097708   0.337226  0.580712
53    26.0000    0.487760   0.300655   0.328303  0.572978
54    26.5000    0.333460   0.454290   0.317575  0.563538
55    27.0000    0.135064   0.536171   0.305721  0.552921
56    27.5000    -0.075223   0.535916   0.292864  0.541170
57    28.0000    -0.264296   0.456899   0.278609  0.527834
58    28.5000    -0.404070   0.315478   0.262799  0.512639
59    29.0000    -0.476478   0.137569   0.245956  0.495940
