dt   Re(C(t))    Im(C(t))   Re(F(t))    Im(F(t))
  0.0000    0.867359    0.000000    0.867359    0.000000
  0.5000    0.804860    0.320708    0.804860    0.320708
  1.0000    0.628171    0.583234    0.628171    0.583234
  1.5000    0.367646    0.743369    0.367646    0.743369
  2.0000    0.067256    0.777720    0.067256    0.777720
  2.5000   -0.223955    0.687886   -0.223955    0.687886
  3.0000   -0.461213    0.499219   -0.461213    0.499219
  3.5000   -0.612186    0.254525   -0.612186    0.254525
  4.0000   -0.662354    0.004216   -0.662354    0.004216
  4.5000   -0.616500   -0.204813   -0.616500   -0.204813
  5.0000   -0.496179   -0.339048   -0.496179   -0.339048
  5.5000   -0.333837   -0.384781   -0.333837   -0.384781
  6.0000   -0.165012   -0.349706   -0.165012   -0.349706
  6.5000   -0.020412   -0.259487   -0.020412   -0.259487
  7.0000    0.080351   -0.150230    0.080351   -0.150230
  7.5000    0.132014   -0.058754    0.132014   -0.058754
  8.0000    0.143265   -0.013038    0.143265   -0.013038
  8.5000    0.132927   -0.025139    0.132927   -0.025139
  9.0000    0.123748   -0.088292    0.123748   -0.088292
  9.5000    0.135381   -0.178838    0.135381   -0.178838
 10.0000    0.178299   -0.262523    0.178299   -0.262523
 10.5000    0.250194   -0.303612    0.250194   -0.303612
 11.0000    0.335788   -0.274609    0.335788   -0.274609
 11.5000    0.410171   -0.164206    0.410171   -0.164206
 12.0000    0.444934    0.018518    0.444934    0.018518
 12.5000    0.415676    0.244755    0.415676    0.244755
 13.0000    0.309078    0.471449    0.309078    0.471449
 13.5000    0.127800    0.650418    0.127800    0.650418
 14.0000   -0.108090    0.739109   -0.108090    0.739109
 14.5000   -0.363682    0.710491   -0.363682    0.710491
 15.0000   -0.595393    0.559841   -0.595393    0.559841
 15.5000   -0.759521    0.306783   -0.759521    0.306783
 16.0000   -0.821367   -0.007938   -0.821367   -0.007938
 16.5000   -0.762927   -0.330323   -0.762927   -0.330323
 17.0000   -0.587412   -0.603927   -0.587412   -0.603927
